locationId	city	country	province	address	longitude	latitude	postalCode	keys
LOC1026	Moose Lake	US	MN	400 Park Place Dr	-92.749350000000007	46.434629999999899	55767	us/mn/mooselake/400parkplacedr/253162556
LOC1027	South Lake Tahoe	US	CA	3300 Lake Tahoe Blvd	-119.97147	38.9452	96150	us/ca/southlaketahoe/3300laketahoeblvd/-606675057
LOC1028	Springfield	US	MO	3232 S. Glenstone	-93.261313999999899	37.154761999999899	65804	us/mo/springfield/3232s.glenstone/1825629170
LOC1029	Springfield	US	VA	6721 Commerce St	-77.178389999999894	38.780296	22150	us/va/springfield/6721commercest/1805240159
LOC1030	Sutter Creek	US	CA	53 Main St	-120.80292	38.3935099999999	95685	us/ca/suttercreek/53mainst/-1348521149
LOC1031	Sylva	US	NC	940 W Main St	-83.228679999999898	35.374609999999898	28779	us/nc/sylva/940wmainst/1084424427
LOC1032	Tallahassee	US	FL	2930 Hospitality St	-84.3070799999999	30.479883000000001	32303	us/fl/tallahassee/2930hospitalityst/201072233
LOC1033	Tampa	US	FL	2900 Bayport Dr	-82.549499999999895	27.9666999999999	33607	us/fl/tampa/2900bayportdr/38161229
LOC1034	Tarzana	US	CA	19454 Ventura Blvd	-118.55712	34.172752000000003	91356	us/ca/tarzana/19454venturablvd/1765977300
LOC1035	Temecula	US	CA	27706 Jefferson Ave	-117.1588	33.513800000000003	92590	us/ca/temecula/27706jeffersonave/587978241
LOC1036	Texarkana	US	AR	4200 N State Line Ave	-94.041650000000004	33.465060000000001	71854	us/ar/texarkana/4200nstatelineave/570466784
LOC1037	Troy	US	OH	1375 W State Route 55	-84.203149999999894	40.037394999999897	45373	us/oh/troy/1375wstateroute55/1586160242
LOC1038	Tulsa	US	OK	5220 E 11th St	-95.918229999999895	36.147239999999897	74112	us/ok/tulsa/5220e11thst/34885116
LOC1039	Virginia Beach	US	VA	901 Atlantic Avenue	-75.972020029999896	36.838166999999899	23451	us/va/virginiabeach/901atlanticavenue/-862005329
LOC1040	Wauchula	US	FL	1211 Us Highway 17 N	-81.815089999999898	27.563210000000002	33873	us/fl/wauchula/1211ushighway17n/1417494302
LOC1041	Westport	US	WA	871 E Neddy Rose Dr	-124.11028	46.911793000000003	98595	us/wa/westport/871eneddyrosedr/1999655389
LOC1042	Whippany	US	NJ	1 Ridgedale Ave N	-74.44332	40.838279999999898	7981	us/nj/whippany/1ridgedaleaven/-718732551
LOC1043	White House	US	TN	206 Knight Cir	-86.678849999999898	36.4666	37188	us/tn/whitehouse/206knightcir/-334244970
LOC1044	Wilburton	US	OK	605 W Main St	-95.318039999999897	34.915669999999899	74578	us/ok/wilburton/605wmainst/-1968310219
LOC1045	Williamsburg	US	VA	1624 Richmond Road	-76.725726129999899	37.293353500000002	23185	us/va/williamsburg/1624richmondroad/-92781564
